claim_id,claim_category,claim_text,metric,model,dataset,experiment,configuration,value,uncertainty,unit,source_artifact,source_row_or_section,status,notes
EV-011,canonical_baseline,EdgeBank Bounded A link prediction AP at TB=100,AP,EdgeBank Bounded A,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=100,0.73903,0.00066,AP,table_a_baseline_reproduction.csv,Row 4,canonical_frozen,Canonical 10-seed average
EV-012,canonical_baseline,EdgeBank Bounded A link prediction AP at TB=200,AP,EdgeBank Bounded A,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=200,0.73900,0.00121,AP,table_a_baseline_reproduction.csv,Row 4,canonical_frozen,Canonical 10-seed average
EV-013,canonical_baseline,EdgeBank All-History link prediction AP at TB=25,AP,EdgeBank All-History,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=25,0.73705,0.00077,AP,table_a_baseline_reproduction.csv,Row 5,canonical_frozen,Canonical 10-seed average
EV-014,canonical_baseline,EdgeBank All-History link prediction AP at TB=50,AP,EdgeBank All-History,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=50,0.73671,0.00088,AP,table_a_baseline_reproduction.csv,Row 5,canonical_frozen,Canonical 10-seed average
EV-015,canonical_baseline,EdgeBank All-History link prediction AP at TB=100,AP,EdgeBank All-History,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=100,0.73622,0.00062,AP,table_a_baseline_reproduction.csv,Row 5,canonical_frozen,Canonical 10-seed average
EV-016,canonical_baseline,EdgeBank All-History link prediction AP at TB=200,AP,EdgeBank All-History,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=200,0.73631,0.00111,AP,table_a_baseline_reproduction.csv,Row 5,canonical_frozen,Canonical 10-seed average
EV-017,canonical_baseline,Historical Retrieval Probe link prediction AP at TB=25,AP,Historical Retrieval Probe,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=25,0.75914,0.00079,AP,table_a_baseline_reproduction.csv,Row 6,canonical_frozen,Canonical 10-seed average
EV-018,canonical_baseline,Historical Retrieval Probe link prediction AP at TB=50,AP,Historical Retrieval Probe,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=50,0.75900,0.00099,AP,table_a_baseline_reproduction.csv,Row 6,canonical_frozen,Canonical 10-seed average
EV-019,canonical_baseline,Historical Retrieval Probe link prediction AP at TB=100,AP,Historical Retrieval Probe,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=100,0.75882,0.00106,AP,table_a_baseline_reproduction.csv,Row 6,canonical_frozen,Canonical 10-seed average
EV-020,canonical_baseline,Historical Retrieval Probe link prediction AP at TB=200,AP,Historical Retrieval Probe,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=200,0.75842,0.00095,AP,table_a_baseline_reproduction.csv,Row 6,canonical_frozen,Canonical 10-seed average
EV-021,canonical_baseline,Random Retrieval link prediction AP at TB=25,AP,Random Retrieval,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=25,0.74232,0.00130,AP,table_a_baseline_reproduction.csv,Row 7,canonical_frozen,Canonical 10-seed average
EV-022,canonical_baseline,Random Retrieval link prediction AP at TB=50,AP,Random Retrieval,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=50,0.73279,0.00098,AP,table_a_baseline_reproduction.csv,Row 7,canonical_frozen,Canonical 10-seed average
EV-023,canonical_baseline,Random Retrieval link prediction AP at TB=100,AP,Random Retrieval,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=100,0.72731,0.00136,AP,table_a_baseline_reproduction.csv,Row 7,canonical_frozen,Canonical 10-seed average
EV-024,canonical_baseline,Random Retrieval link prediction AP at TB=200,AP,Random Retrieval,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=200,0.71934,0.00100,AP,table_a_baseline_reproduction.csv,Row 7,canonical_frozen,Canonical 10-seed average
EV-025,canonical_baseline,Continuous TGN link prediction AP at TB=25,AP,Continuous TGN,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=25,0.65280,0.00118,AP,table_a_baseline_reproduction.csv,Row 8,canonical_frozen,Canonical 10-seed average
EV-026,canonical_baseline,Continuous TGN link prediction AP at TB=50,AP,Continuous TGN,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=50,0.65225,0.00127,AP,table_a_baseline_reproduction.csv,Row 8,canonical_frozen,Canonical 10-seed average
EV-027,canonical_baseline,Continuous TGN link prediction AP at TB=100,AP,Continuous TGN,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=100,0.65232,0.00069,AP,table_a_baseline_reproduction.csv,Row 8,canonical_frozen,Canonical 10-seed average
EV-028,canonical_baseline,Continuous TGN link prediction AP at TB=200,AP,Continuous TGN,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=200,0.65215,0.00144,AP,table_a_baseline_reproduction.csv,Row 8,canonical_frozen,Canonical 10-seed average
EV-029,canonical_baseline,TGN-NoMemory link prediction AP at TB=25,AP,TGN-NoMemory,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=25,0.65266,0.00118,AP,table_a_baseline_reproduction.csv,Row 9,canonical_frozen,Canonical 10-seed average
EV-030,canonical_baseline,TGN-NoMemory link prediction AP at TB=50,AP,TGN-NoMemory,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=50,0.65230,0.00089,AP,table_a_baseline_reproduction.csv,Row 9,canonical_frozen,Canonical 10-seed average
EV-031,canonical_baseline,TGN-NoMemory link prediction AP at TB=100,AP,TGN-NoMemory,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=100,0.65184,0.00090,AP,table_a_baseline_reproduction.csv,Row 9,canonical_frozen,Canonical 10-seed average
EV-032,canonical_baseline,TGN-NoMemory link prediction AP at TB=200,AP,TGN-NoMemory,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=200,0.65172,0.00160,AP,table_a_baseline_reproduction.csv,Row 9,canonical_frozen,Canonical 10-seed average
EV-033,proposed_model,MA-TGN link prediction AP at TB=25,AP,MA-TGN,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=25,0.65274,0.00106,AP,table_a_baseline_reproduction.csv,Row 10,canonical_frozen,Canonical 10-seed average
EV-034,proposed_model,MA-TGN link prediction AP at TB=50,AP,MA-TGN,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=50,0.65218,0.00078,AP,table_a_baseline_reproduction.csv,Row 10,canonical_frozen,Canonical 10-seed average
EV-035,proposed_model,MA-TGN link prediction AP at TB=100,AP,MA-TGN,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=100,0.65219,0.00056,AP,table_a_baseline_reproduction.csv,Row 10,canonical_frozen,Canonical 10-seed average
EV-036,proposed_model,MA-TGN link prediction AP at TB=200,AP,MA-TGN,DSBM_Synthetic,Phase10_Exp1,N=300_rho=0.10_TB=200,0.65192,0.00138,AP,table_a_baseline_reproduction.csv,Row 10,canonical_frozen,Canonical 10-seed average
EV-037,component_ablation,Model A (Continuous TGN) AP at TB=100,AP,Continuous TGN,DSBM_Synthetic,Phase10_Exp2,TB=100_seed42-46,0.65193,0.00048,AP,table_c_component_ablation.csv,Row 2,canonical_frozen,5 seeds
EV-038,component_ablation,Model B (TGN + Episodic Memory) AP at TB=100,AP,TGN + Episodic,DSBM_Synthetic,Phase10_Exp2,TB=100_seed42-46,0.65199,0.00106,AP,table_c_component_ablation.csv,Row 3,canonical_frozen,5 seeds
EV-039,component_ablation,Model C (TGN + Learned Retrieval) AP at TB=100,AP,TGN + Learned Retr,DSBM_Synthetic,Phase10_Exp2,TB=100_seed42-46,0.65179,0.00095,AP,table_c_component_ablation.csv,Row 4,canonical_frozen,5 seeds
EV-040,component_ablation,Model D (Full MA-TGN) AP at TB=100,AP,Full MA-TGN,DSBM_Synthetic,Phase10_Exp2,TB=100_seed42-46,0.65186,0.00093,AP,table_c_component_ablation.csv,Row 5,canonical_frozen,5 seeds
EV-041,component_ablation,Model E (MA-TGN w/o Recurrent Memory) AP at TB=100,AP,MA-TGN w/o Recurrent,DSBM_Synthetic,Phase10_Exp2,TB=100_seed42-46,0.65152,0.00073,AP,table_c_component_ablation.csv,Row 6,canonical_frozen,5 seeds
EV-042,component_ablation,Model F (MA-TGN w/ Random Retrieval) AP at TB=100,AP,MA-TGN w/ Random,DSBM_Synthetic,Phase10_Exp2,TB=100_seed42-46,0.65223,0.00088,AP,table_c_component_ablation.csv,Row 7,canonical_frozen,5 seeds
EV-043,component_ablation,Model G (MA-TGN w/ Shuffled Keys) AP at TB=100,AP,MA-TGN w/ Shuffled Keys,DSBM_Synthetic,Phase10_Exp2,TB=100_seed42-46,0.65214,0.00111,AP,table_c_component_ablation.csv,Row 8,canonical_frozen,5 seeds
EV-044,memory_budget,Memory budget K=1 AP,AP,MA-TGN,DSBM_Synthetic,Phase10_Exp3,K=1_TB=100,0.65193,0.00092,AP,table_d_memory_budget.csv,Row 2,canonical_frozen,150.25 KB RAM
EV-045,memory_budget,Memory budget K=2 AP,AP,MA-TGN,DSBM_Synthetic,Phase10_Exp3,K=2_TB=100,0.65181,0.00133,AP,table_d_memory_budget.csv,Row 3,canonical_frozen,225.50 KB RAM
EV-046,memory_budget,Memory budget K=4 AP,AP,MA-TGN,DSBM_Synthetic,Phase10_Exp3,K=4_TB=100,0.65176,0.00088,AP,table_d_memory_budget.csv,Row 4,canonical_frozen,376.00 KB RAM
EV-047,memory_budget,Memory budget K=8 AP,AP,MA-TGN,DSBM_Synthetic,Phase10_Exp3,K=8_TB=100,0.65218,0.00072,AP,table_d_memory_budget.csv,Row 5,canonical_frozen,677.00 KB RAM
EV-048,memory_budget,Memory budget K=16 AP,AP,MA-TGN,DSBM_Synthetic,Phase10_Exp3,K=16_TB=100,0.65230,0.00072,AP,table_d_memory_budget.csv,Row 6,canonical_frozen,1279.00 KB RAM
EV-049,memory_budget,Memory budget K=32 AP,AP,MA-TGN,DSBM_Synthetic,Phase10_Exp3,K=32_TB=100,0.65212,0.00103,AP,table_d_memory_budget.csv,Row 7,canonical_frozen,2483.00 KB RAM
EV-050,real_world,CollegeMsg Mean AP for EdgeBank,AP,EdgeBank,SNAP_CollegeMsg,Phase10_Exp9,4_episodes,0.87627,0.03354,AP,table_h_collegemsg_episodes.csv,Row 6,canonical_frozen,4 episodes mean
EV-051,real_world,CollegeMsg Mean AP for Current-Only,AP,Current-Only,SNAP_CollegeMsg,Phase10_Exp9,4_episodes,0.70020,0.06430,AP,table_h_collegemsg_episodes.csv,Row 6,canonical_frozen,4 episodes mean
EV-052,real_world,CollegeMsg Mean AP for Historical Retrieval,AP,Hist_Retrieval,SNAP_CollegeMsg,Phase10_Exp9,4_episodes,0.70020,0.06430,AP,table_h_collegemsg_episodes.csv,Row 6,canonical_frozen,4 episodes mean
EV-053,real_world,CollegeMsg Mean AP for Continuous TGN,AP,Continuous TGN,SNAP_CollegeMsg,Phase10_Exp9,4_episodes,0.65520,0.06046,AP,table_h_collegemsg_episodes.csv,Row 6,canonical_frozen,4 episodes mean
EV-054,real_world,CollegeMsg Mean AP for MA-TGN,AP,MA-TGN,SNAP_CollegeMsg,Phase10_Exp9,4_episodes,0.71350,0.06186,AP,table_h_collegemsg_episodes.csv,Row 6,canonical_frozen,4 episodes mean
EV-055,real_world,Bitcoin-OTC Mean AP for EdgeBank,AP,EdgeBank,SNAP_Bitcoin_OTC,Phase10_Exp9,4_episodes,0.77530,0.02905,AP,table_i_bitcoin_otc_episodes.csv,Row 6,canonical_frozen,4 episodes mean
EV-056,real_world,Bitcoin-OTC Mean AP for Current-Only,AP,Current-Only,SNAP_Bitcoin_OTC,Phase10_Exp9,4_episodes,0.63400,0.03061,AP,table_i_bitcoin_otc_episodes.csv,Row 6,canonical_frozen,4 episodes mean
EV-057,real_world,Bitcoin-OTC Mean AP for Historical Retrieval,AP,Hist_Retrieval,SNAP_Bitcoin_OTC,Phase10_Exp9,4_episodes,0.67275,0.03191,AP,table_i_bitcoin_otc_episodes.csv,Row 6,canonical_frozen,4 episodes mean
EV-058,real_world,Bitcoin-OTC Mean AP for Continuous TGN,AP,Continuous TGN,SNAP_Bitcoin_OTC,Phase10_Exp9,4_episodes,0.56700,0.02823,AP,table_i_bitcoin_otc_episodes.csv,Row 6,canonical_frozen,4 episodes mean
EV-059,real_world,Bitcoin-OTC Mean AP for MA-TGN,AP,MA-TGN,SNAP_Bitcoin_OTC,Phase10_Exp9,4_episodes,0.69125,0.03235,AP,table_i_bitcoin_otc_episodes.csv,Row 6,canonical_frozen,4 episodes mean
EV-060,exact_vs_structural,Condition A Exact Recurrence Edge Jaccard,Jaccard,N/A,DSBM_Synthetic,Phase10_Exp4,Exact_A_B_A,0.65543,0.0,ratio,table_f_exact_vs_structural.csv,Row 2,canonical_frozen,Exact edge repetition condition
EV-061,exact_vs_structural,Condition B Structural Recurrence Edge Jaccard,Jaccard,N/A,DSBM_Synthetic,Phase10_Exp4,Structural_A_B_A,0.93786,0.0,ratio,table_f_exact_vs_structural.csv,Row 3,canonical_frozen,Permuted partition condition
EV-062,reexposure_dynamics,Zero-lag onset AP at k_A=0 for MA-TGN,AP,MA-TGN,DSBM_Synthetic,Phase10_Exp5,k_A=0_TB=100,0.65043,0.0,AP,table_g_reexposure_dynamics.csv,Row 2,canonical_frozen,Onset evaluation at k_A=0
EV-063,reexposure_dynamics,Zero-lag onset AP at k_A=0 for Continuous TGN,AP,Continuous TGN,DSBM_Synthetic,Phase10_Exp5,k_A=0_TB=100,0.64995,0.0,AP,table_g_reexposure_dynamics.csv,Row 2,canonical_frozen,Onset evaluation at k_A=0
EV-064,reexposure_dynamics,Zero-lag onset AP at k_A=0 for Hist Retrieval Probe,AP,Hist_Retrieval,DSBM_Synthetic,Phase10_Exp5,k_A=0_TB=100,0.75608,0.0,AP,table_g_reexposure_dynamics.csv,Row 2,canonical_frozen,Onset evaluation at k_A=0
EV-065,memory_accounting,Analytical memory footprint for MA-TGN at K=10,Memory,MA-TGN,DSBM_Synthetic,Phase10_Exp10,N=300_K=10_dm=64,827.5,0.0,KB,table_e_memory_parameter_comparison.csv,Row 5,canonical_frozen,Exact analytical memory at K=10
